#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_abra;Abra;Abra;Abra;;Abra;;;;;;;;;x
c_abra_adj;Abran;;abrer;;;;;;;;;;;x
c_aceh_barat;Aceh Barat;Aceh Barat;Aceh Barat;;Aceh Barat;;;;;;;;;x
c_aceh_barat_adj;Aceh Baratian;;Aceh Barater;;;;;;;;;;;x
c_aceh_tengah;Aceh Tengah;Aceh Tengah;Aceh Tengah;;Aceh Tengah;;;;;;;;;x
c_aceh_tengah_adj;Aceh Tengahian;;Aceh Tengaher;;;;;;;;;;;x
c_aceh_timur;Aceh Timur;Aceh Timur;Aceh Timur;;Aceh Timur;;;;;;;;;x
c_aceh_timur_adj;Aceh Timurian;;Aceh Timurer;;;;;;;;;;;x
c_agam;Agam;Agam;Agam;;Agam;;;;;;;;;x
c_agam_adj;Agamian;;agamer;;;;;;;;;;;x
c_agatsuma;Agatsuma;Agatsuma;Agatsuma;;Agatsuma;;;;;;;;;x
c_agatsuma_adj;Agatsuman;;agatsumer;;;;;;;;;;;x
c_aizu;Aizu;Aizu;Aizu;;Aizu;;;;;;;;;x
c_aizu_adj;Aizian;;aizer;;;;;;;;;;;x
c_aki;Aki;Aki;Aki;;Aki;;;;;;;;;x
c_aki_adj;Akian;;aker;;;;;;;;;;;x
c_akita;Akita;Akita;Akita;;Akita;;;;;;;;;x
c_akita_adj;Akitan;;akiter;;;;;;;;;;;x
c_aklan;Aklan;Aklan;Aklan;;Aklan;;;;;;;;;x
c_aklan_adj;Aklanian;;aklaner;;;;;;;;;;;x
c_akumi;Akumi;Akumi;Akumi;;Akumi;;;;;;;;;x
c_akumi_adj;Akumian;;akumer;;;;;;;;;;;x
c_albay;Albay;Albay;Albay;;Albay;;;;;;;;;x
c_albay_adj;Albaian;;albaer;;;;;;;;;;;x
c_alor;Alor;Alor;Alor;;Alor;;;;;;;;;x
c_alor_adj;Alorian;;alorer;;;;;;;;;;;x
c_alor_gajah;Alor Gajah;Alor Gajah;Alor Gajah;;Alor Gajah;;;;;;;;;x
c_alor_gajah_adj;Alor Gajahian;;Alor Gajaher;;;;;;;;;;;x
c_amakusa;Amakusa;Amakusa;Amakusa;;Amakusa;;;;;;;;;x
c_amakusa_adj;Amakusan;;amakuser;;;;;;;;;;;x
c_amami;Amami;Amami;Amami;;Amami;;;;;;;;;x
c_amami_adj;Amamian;;amamer;;;;;;;;;;;x
c_ambon;Ambon;Ambon;Ambon;;Ambon;;;;;;;;;x
c_ambon_adj;Ambonian;;amboner;;;;;;;;;;;x
c_an_giang;An Giang;An Giang;An Giang;;An Giang;;;;;;;;;x
c_an_giang_adj;An Giangian;;An Gianger;;;;;;;;;;;x
c_antique;Antique;Antique;Antique;;Antique;;;;;;;;;x
c_antique_adj;Antiquean;;antiqer;;;;;;;;;;;x
c_anuchinsky;Anuchinsky;Anuchinsky;Anuchinsky;;Anuchinsky;;;;;;;;;x
c_anuchinsky_adj;Anuchinskian;;anuchinsker;;;;;;;;;;;x
c_aomori;Aomori;Aomori;Aomori;;Aomori;;;;;;;;;x
c_aomori_adj;Aomorian;;aomorer;;;;;;;;;;;x
c_apayao;Apayao;Apayao;Apayao;;Apayao;;;;;;;;;x
c_apayao_adj;Apaian;;apaer;;;;;;;;;;;x
c_arsenyevsky;Arsenyevsky;Arsenyevsky;Arsenyevsky;;Arsenyevsky;;;;;;;;;x
c_arsenyevsky_adj;Arsenyevskian;;arsenyevsker;;;;;;;;;;;x
c_aru;Aru;Aru;Aru;;Aru;;;;;;;;;x
c_aru_adj;Arian;;arer;;;;;;;;;;;x
c_asahan;Asahan;Asahan;Asahan;;Asahan;;;;;;;;;x
c_asahan_adj;Asahanian;;asahaner;;;;;;;;;;;x
c_asmat;Asmat;Asmat;Asmat;;Asmat;;;;;;;;;x
c_asmat_adj;Asmatian;;asmater;;;;;;;;;;;x
c_attapeu;Attapeu;Attapeu;Attapeu;;Attapeu;;;;;;;;;x
c_attapeu_adj;Attapian;;attaper;;;;;;;;;;;x
c_aurora;Aurora;Aurora;Aurora;;Aurora;;;;;;;;;x
c_aurora_adj;Auroran;;aurorer;;;;;;;;;;;x
c_awaji;Awaji;Awaji;Awaji;;Awaji;;;;;;;;;x
c_awaji_adj;Awajian;;awajer;;;;;;;;;;;x
c_bac_giang;Bac Giang;Bac Giang;Bac Giang;;Bac Giang;;;;;;;;;x
c_bac_giang_adj;Bac Giangian;;Bac Gianger;;;;;;;;;;;x
c_bac_kan;Bac Kan;Bac Kan;Bac Kan;;Bac Kan;;;;;;;;;x
c_bac_kan_adj;Bac Kanian;;Bac Kaner;;;;;;;;;;;x
c_bac_lieu;Bac Liêu;Bac Liêu;Bac Liêu;;Bac Liêu;;;;;;;;;x
c_bac_lieu_adj;Bac Liêian;;Bac Liêer;;;;;;;;;;;x
c_bac_ninh;Bac Ninh;Bac Ninh;Bac Ninh;;Bac Ninh;;;;;;;;;x
c_bac_ninh_adj;Bac Ninhian;;Bac Ninher;;;;;;;;;;;x
c_bacan;Bacan;Bacan;Bacan;;Bacan;;;;;;;;;x
c_bacan_adj;Bacanian;;bacaner;;;;;;;;;;;x
c_bachok;Bachok;Bachok;Bachok;;Bachok;;;;;;;;;x
c_bachok_adj;Bachokian;;bachoker;;;;;;;;;;;x
c_baganga;Baganga;Baganga;Baganga;;Baganga;;;;;;;;;x
c_baganga_adj;Bagangan;;baganger;;;;;;;;;;;x
c_baling;Baling;Baling;Baling;;Baling;;;;;;;;;x
c_baling_adj;Balingian;;balinger;;;;;;;;;;;x
c_banda;Banda;Banda;Banda;;Banda;;;;;;;;;x
c_banda_adj;Bandan;;bander;;;;;;;;;;;x
c_banda_aceh;Banda Aceh;Banda Aceh;Banda Aceh;;Banda Aceh;;;;;;;;;x
c_banda_aceh_adj;Banda Acehian;;Banda Aceher;;;;;;;;;;;x
c_bandung;Bandung;Bandung;Bandung;;Bandung;;;;;;;;;x
c_bandung_adj;Bandungian;;bandunger;;;;;;;;;;;x
c_banggai;Banggai;Banggai;Banggai;;Banggai;;;;;;;;;x
c_banggai_adj;Banggian;;bangger;;;;;;;;;;;x
c_bangka_selatan;Bangka Selatan;Bangka Selatan;Bangka Selatan;;Bangka Selatan;;;;;;;;;x
c_bangka_selatan_adj;Bangka Selatanian;;Bangka Selataner;;;;;;;;;;;x
c_banteay_meanchey;Banteay Meanchey;Banteay Meanchey;Banteay Meanchey;;Banteay Meanchey;;;;;;;;;x
c_banteay_meanchey_adj;Banteay Meancheian;;Banteay Meancheer;;;;;;;;;;;x
c_banyuasin;Banyuasin;Banyuasin;Banyuasin;;Banyuasin;;;;;;;;;x
c_banyuasin_adj;Banyuasinian;;banyuasiner;;;;;;;;;;;x
c_banyuwangi;Banyuwangi;Banyuwangi;Banyuwangi;;Banyuwangi;;;;;;;;;x
c_banyuwangi_adj;Banyuwangian;;banyuwanger;;;;;;;;;;;x
c_barito_kuala;Barito Kuala;Barito Kuala;Barito Kuala;;Barito Kuala;;;;;;;;;x
c_barito_kuala_adj;Barito Kualan;;Barito Kualer;;;;;;;;;;;x
c_basilan;Basilan;Basilan;Basilan;;Basilan;;;;;;;;;x
c_basilan_adj;Basilanian;;basilaner;;;;;;;;;;;x
c_bataan;Bataan;Bataan;Bataan;;Bataan;;;;;;;;;x
c_bataan_adj;Bataanian;;bataaner;;;;;;;;;;;x
c_batam;Batam;Batam;Batam;;Batam;;;;;;;;;x
c_batam_adj;Batamian;;batamer;;;;;;;;;;;x
c_batanes;Batanes;Batanes;Batanes;;Batanes;;;;;;;;;x
c_batanes_adj;Batanesian;;bataneser;;;;;;;;;;;x
c_batang_padang;Batang Padang;Batang Padang;Batang Padang;;Batang Padang;;;;;;;;;x
c_batang_padang_adj;Batang Padangian;;Batang Padanger;;;;;;;;;;;x
c_batangas;Batangas;Batangas;Batangas;;Batangas;;;;;;;;;x
c_batangas_adj;Batangasian;;batangaser;;;;;;;;;;;x
c_battambang;Battambang;Battambang;Battambang;;Battambang;;;;;;;;;x
c_battambang_adj;Battambangian;;battambanger;;;;;;;;;;;x
c_batu_pahat;Batu Pahat;Batu Pahat;Batu Pahat;;Batu Pahat;;;;;;;;;x
c_batu_pahat_adj;Batu Pahatian;;Batu Pahater;;;;;;;;;;;x
c_baukau;Baukau;Baukau;Baukau;;Baukau;;;;;;;;;x
c_baukau_adj;Baukian;;bauker;;;;;;;;;;;x
c_bayugan;Bayugan;Bayugan;Bayugan;;Bayugan;;;;;;;;;x
c_bayugan_adj;Bayuganian;;bayuganer;;;;;;;;;;;x
c_belitung;Belitung;Belitung;Belitung;;Belitung;;;;;;;;;x
c_belitung_adj;Belitungian;;belitunger;;;;;;;;;;;x
c_ben_tre;Bên Tre;Bên Tre;Bên Tre;;Bên Tre;;;;;;;;;x
c_ben_tre_adj;Bên Trean;;Bên Trer;;;;;;;;;;;x
c_bengkalis;Bengkalis;Bengkalis;Bengkalis;;Bengkalis;;;;;;;;;x
c_bengkalis_adj;Bengkalisian;;bengkaliser;;;;;;;;;;;x
c_bengkulu;Bengkulu;Bengkulu;Bengkulu;;Bengkulu;;;;;;;;;x
c_bengkulu_adj;Bengkulian;;bengkuler;;;;;;;;;;;x
c_benguet;Benguet;Benguet;Benguet;;Benguet;;;;;;;;;x
