#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
e_japan;Japan;Japan;Japan;;Japan;;;;;;;;;x
e_japan_adj;Japanian;;japaner;;;;;;;;;;;x
e_kampuchea;Kampuchea;Kampuchea;Kampuchea;;Kampuchea;;;;;;;;;x
e_kampuchea_adj;Kampuchean;;kampucher;;;;;;;;;;;x
e_lan_xang;Lan Xang;Lan Xang;Lan Xang;;Lan Xang;;;;;;;;;x
e_lan_xang_adj;Lan Xangian;;Lan Xanger;;;;;;;;;;;x
e_the_philippines;the Philippines;the Philippines;the Philippines;;the Philippines;;;;;;;;;x
e_the_philippines_adj;the Philippinesian;;the Philippineser;;;;;;;;;;;x
e_viet_nam;Viêt Nam;Viêt Nam;Viêt Nam;;Viêt Nam;;;;;;;;;x
e_viet_nam_adj;Viêt Namian;;Viêt Namer;;;;;;;;;;;x
