###########Bloodline Things###########
dragon_son_of_vietnam;Blood of the Dragon King;;;;;;;;;;;;;x
dragon_son_of_vietnam_desc;Blood of the First Emperor, Quang-Trung, of a united Post-Event Viêt Nam. His Lineage has continued to uphold the beaucratic roots of this legendary founder.;;;;;;;;;;;;;x
wongsuwan_bloodline;Blood of Suwan;;;;;;;;;;;;;x
wongsuwan_bloodline_desc;Blood of the Sleeping Tiger, Wit of Suwanaphum led his armies to quell unrests that came after the events. Now without master, His Lineage has continued to uphold the martial roots of this legendary founder.;;;;;;;;;;;;;x
bunnag_bloodline;Blood of Somdet Chao Phraya;;;;;;;;;;;;;x
bunnag_bloodline_desc;This character descended from Ancient Lineage of Somdet Chao Phraya, the very namesake of river that kept their families afloat.;;;;;;;;;;;;;x
legendary_ruler_of_singapore;Blood of Lion Prince;;;;;;;;;;;;;x
legendary_ruler_of_singapore_desc;This character descended from Ancient Lion Prince of Singapore, through his family wealth and power has long flowed through the Lion City.;;;;;;;;;;;;;x
baekdu_bloodline;Blood of the Eternal Sun;;;;;;;;;;;;;x
baekdu_bloodline_desc;This character is believed to be the reincarnation of the Eternal Sun, The Supreme Guardian of All-Korea.;;;;;;;;;;;;;x
