###########Cao Dai Pilgrimage Events###########
cd_pilgrimage;Go On a [cao_dai.GetName] Pilgrimage;;;;;;;;;;;;;x
cd_pilgrimage_desc;You are ready to embark on a Pilgrimage to the Holy See of Cao Dai and to Seance with the Spirits!;;;;;;;;;;;;;x

doing_seance;Doing Seance;;;;;;;;;;;;;x
doing_seance_desc;This character is doing a Seance;;;;;;;;;;;;;x

EVTNAME_cd_pilgrim_prep;Pilgrimage Preparation;;;;;;;;;;;;;x
EVTDESC_cd_pilgrim_prep;The time has come for you to undertake the holy pilgrimage to Tay Ninh to recieve your blessing before the Heavenly Lord, [cao_dai.GetName]. \n\nBut first, you must prepare for the journey.;;;;;;;;;;;;;x
EVTOPT_cd_pilgrim_prep_cancel;On second thought, now is a bad time to travel.;;;;;;;;;;;;;x
EVTOPT_cd_pilgrim_prep_humble;I need nothing beyond the clothes on my back.;;;;;;;;;;;;;x
EVTOPT_cd_pilgrim_prep_carriage;I shall travel in a splendid carriage.;;;;;;;;;;;;;x
EVTOPT_cd_pilgrim_prep_retinue;I will bring a retinue of bodyguards for protection.;;;;;;;;;;;;;x

EVTNAME_pilgrim_tay_ninh;The Holy City of Tay Ninh;;;;;;;;;;;;;x
EVTDESC_pilgrim_tay_ninh;As you approach the city of Tay Ninh, the colorful red, blue, and yellow banner guard welcomes you, blessing you for your stay in the holy city. It has been said that upon this city the Holy Prophet, Chieu Minh, saw the visage of the one true god. His raidiance bringing forth the great redemption of humanity! The Colors of each guard representing the great unification of Buddhist, Confuciuist, and Daoist thought under the mercy of [cao_dai.GetName]. This example the [HEAD_CAO_DAI.GetName] hopes will be which all the corners of the earth can unite in devotion to the one true lord of the universe.;;;;;;;;;;;;;x
EVTOPT_pilgrim_approach;The Holy Cathedral, I must go!;;;;;;;;;;;;;

EVTNAME_viewing_the_one_god;The Lord, [cao_dai.GetName];;;;;;;;;;;;;x
EVTDESC_viewing_the_one_god;You enter the holy cathedral bowing before the assortment of clergymen whom watch the disciples dispense the holy sacraments to devotees. You are awed by the open eye of [cao_dai.GetName], his still tranquility you could see the Enlightment of the Buddha, the Grand Harmony of Laozi, the Supreme Order of Kongzhi, and the devotion of Christ emunating through [cao_dai.GetName]. You lower yourself to the ground to bow before his might.;;;;;;;;;;;;;x
EVTOPT_heavenly_father;Heavenly Father, I plea your mercy!;;;;;;;;;;;;;

EVTNAME_seance_name;Communing with the Saints;;;;;;;;;;;;;x
EVTDESC_seance_cao_dai;After completing your trip to the Altar of [cao_dai.GetName], you come across a medium who lays upon the ground on a velvet cloth thier sage brush and urn. They offer you a chance to read your destiny by communing with the saints on your behalf. It is a tradition that every being under the grace of The Lord, commune with the saintly spirits blessed by him. You may reject this offer but doing so will leave you without the ability to know which saints blessed you in the name of the Supreme. You watch intently as the medium brushes the sage upon the urn. The Medium convulses as the saint enters their body... The Medium slumps over.;;;;;;;;;;;;;x
EVTOPT_seance_opt;"Oh Saints, come forth from the infinite expanse!";;;;;;;;;;;;;
EVTOPT_rejected_seance_opt;I do not require a Seance...;;;;;;;;;;;;;

EVTNAME_seance_ends;[cao_dai.GetName]'s Verdict;;;;;;;;;;;;;x
EVTDESC_seance_ends;You stand quivering as you wait for the medium to let go of the soul of the saint, so that you may recieve their judgement on the whims of the Supreme. It appears that through your interactions with the saint, you were able to learn much about yourself and your place in the grand scheme of existence. The Medium said unto you "Truly [cao_dai.GetName]'s Verdict is all-knowing and most merciful!" You smile as you say...;;;;;;;;;;;;;x
EVTOPT_plan_faith;"Oh Lord, I place my faith in the Supreme!";;;;;;;;;;;;;x
EVTOPT_plan_wisdom;"Oh Lord Supreme, I seek your divine wisdom!";;;;;;;;;;;;;x
EVTOPT_plan_power;"May I be your sword of redemption!";;;;;;;;;;;;;x
EVTOPT_plan_balance;"I hold my center for you to guide.";;;;;;;;;;;;;x

EVTNAME_seance_faith;A Faithful Deliverance;;;;;;;;;;;;;x
EVTDESC_seance_faith;The Lord through your medium has made it clear that you are a character whose faith and belief in the all-merciful justice of [cao_dai.GetName] is a sign of true devotion. Much like how Quan Am sought to alleivate the suffering of all as she was instructed, Joan D'Arc died in her devotion to the lord, and Moses never bending survived his trials to set his people free against those that wish to divide us so. Of course, this is only what the medium tells you, you are free to choice whether this seance is the plan, [cao_dai.GetName] choose for you...;;;;;;;;;;;;;x
EVTOPT_seance_faith;I will devout myself to [cao_dai.GetName]'s Divine Plan;;;;;;;;;;;;;x
EVTOPT_reject_seance_faith;I place my faith on my own merits.;;;;;;;;;;;;;x

EVTNAME_seance_wisdom;A Sage Advice;;;;;;;;;;;;;x
EVTDESC_seance_wisdom;The Lord through your medium has made it clear that you are a character whose wise mentoring has placed you closer to understanding why the all-merciful justice of [cao_dai.GetName] is a sign of true devotion. Much like how Ly Bach sought to emulate the timeless nature of the Lord, Understanding Humanity through its nature like Shakespeare, and Lord Hugo whom pierces the allusion of many to the one true order of the Supreme. Of course, this is only what the medium tells you, you are free to choice whether this seance is the plan, [cao_dai.GetName] choose for you...;;;;;;;;;;;;;x
EVTOPT_seance_wisdom;I must study [cao_dai.GetName]'s Divine Plan;;;;;;;;;;;;;x
EVTOPT_reject_seance_wisdom;I am wisdom on my own merits.;;;;;;;;;;;;;x

EVTNAME_seance_power;A Warrior's Honor;;;;;;;;;;;;;x
EVTDESC_seance_power;The Lord through your medium has made it clear that you are a character whose power has placed you closer to understanding the overwhelming majesty of [cao_dai.GetName] as a sign of true devotion. Much like how Muhammad lead his people as a mighty leader and warrior of the faith, Lord Quan Yu fought honorably to slay demons which set upon people to spread ailment and despair, and Lenin's fiery spirit for the world revolution to dismantle all divides and break all chains. Of course, this is only what the medium tells you, you are free to choice whether this seance is the plan, [cao_dai.GetName] choose for you...;;;;;;;;;;;;;x
EVTOPT_seance_power;My might for [cao_dai.GetName]'s Divine Plan;;;;;;;;;;;;;x
EVTOPT_reject_seance_power;I will stand mighty on my own.;;;;;;;;;;;;;x

EVTNAME_seance_balance;A Balanced Repose;;;;;;;;;;;;;x
EVTDESC_seance_balance;The Lord through your medium has made it clear that you are a character whose seeks balance in their life and it to is the divine plan of the Supreme for which you believe has brought you closer to understanding and devoted to his divine plan. Such that principles of Sun Yat-Sen are not to be forgotten, casting Lord Bien Khiem's Foresight to guide steady anchor upon the shore mooring you to an existence which Pasteur ordains as the true balance between the divine and material. Of course, this is only what the medium tells you, you are free to choice whether this seance is the plan, [cao_dai.GetName] choose for you...;;;;;;;;;;;;;x
EVTOPT_seance_balance;I seek to center myself to [cao_dai.GetName]'s Divine Plan;;;;;;;;;;;;;x
