###########Chinese Decisions and Events###########
EVTDESC_cetic_claims;It has come to your attention that [From.GetTitledFirstName] has claims on sacred imperial lands! It is irrelevant whether the claims are clever fabrications or the genuine result of noble lineage, only members of your dynasty have a right to the imperial titles.;;;;;;;;;;;;;x
EVTOPT_cetic_claims_diplo;An eloquent and inspiring missive will bestow Imperial Favor.;;;;;;;;;;;;;x
EVTOPT_cetic_claims_learn;Personalized copies of my wise teachings will bestow Imperial Favor.;;;;;;;;;;;;;x
EVTOPT_cetic_claims_request;A gift of tea and spices will bestow Imperial Favor.;;;;;;;;;;;;;x
EVTOPT_cetic_claims_lazy;No matter. Let [From.GetObjectPronoun] have [From.GetPossPronoun] claims.;;;;;;;;;;;;;x
TXT_cetic_claim_request;You send a letter to [From.GetTitledFirstName], requesting dissolution of the claims on your titles.\n;;;;;;;;;;;;;x
EVTDESC_cetic_claim_letter;It has come to my attention that you possess claims on the sacred lands of the imperial seat. The Imperial Court will favor your dynasty if you dissolve your claims.\n\nSigned,\n[From.GetTitledFirstName];;;;;;;;;;;;;x
EVTOPT_cetic_claims_agree;They are dissolved.;;;;;;;;;;;;;x
EVTOPT_cetic_claims_reject;I will not throw away my birthright!;;;;;;;;;;;;;x
EVTDESC_cetic_claim_inform_yes;To the wise and mighty [Root.GetTitledFirstName],\n\nI hereby renounce my claims on the title of the imperial seat. Consider them fully dissolved.\n\nSigned,\n[From.GetTitledFirstName];;;;;;;;;;;;;x
EVTDESC_cetic_claim_inform_no;Count me among the unenlightened if you must, but I will not relinquish claims that are mine by the laws of men. The censure of an impotent figurehead emperor does not frighten me.\n\nSigned,\n[From.GetTitledFirstName];;;;;;;;;;;;;x
imperial_favor;Imperial Favor;;;;;;;;;;;;;x
imperial_favor_desc;This character has influence within the Imperial Court.;;;;;;;;;;;;;x
imperial_censure;Imperial Censure;;;;;;;;;;;;;x
imperial_censure_desc;This character has been denounced and shunned by the Imperial Court.;;;;;;;;;;;;;x
figurehead;Figurehead Emperor;;;;;;;;;;;;;x
figurehead_desc;Imperial authority has been severely limited, including the ability to make war for personal or de jure claims. It will take skillful political and theological maneuvering to remove the legal and cultural restrictions currently in place. Despite the military restrictions, the favor of the Imperial Court is a powerful diplomatic tool.;;;;;;;;;;;;;x
EVTDESC_cetic_border;You have discovered papers which document a tenuous claim on the border county of [From.GetName], though the claim is too weak to be acknowledged as legitimate without imperial sanction. Exercising your influence in the Imperial Court will strengthen your claim, assuming the Emperor can be persuaded.;;;;;;;;;;;;;x
