###########Obon Festival###########
held_obon_festival_timer;Held Obon Festival;;;;;;;;;;;;;x
obon_festival;Preparations for the Obon Festival begin.;;;;;;;;;;;;;x
EVTDESC_jp_1;You have decided to organize an Obon Festival in your realm. As no such celebration has any place being held quietly, you have invited all of your vassals.;;;;;;;;;;;;;x
EVTOPTA_jp1;Send the invitations!;;;;;;;;;;;;;x
EVTTOOLTIP_jp_1;You send an invitation to the Obon Festival.;;;;;;;;;;;;;x
EVTDESC_jp_2;You have been invited to join [From.GetTitledFirstName] at the Obon Festival this year, where traditional song and dance will be had for all.;;;;;;;;;;;;;x
EVTOPTA_jp_2;I shall attend.;;;;;;;;;;;;;x
EVTOPTB_jp_2;I don't think so...;;;;;;;;;;;;;x
obon_festival_accepted;You attend the Agape feast.;;;;;;;;;;;;;x
obon_festival_declined;Your liege is notified of your refusal.;;;;;;;;;;;;;x
EVTDESC_jp_3;[From.GetTitledFirstName] has refused your invitation to the Obon Festival, claiming [From.GetSheHe] has other plans.;;;;;;;;;;;;;x
EVTOPTA_jp_3;A likely excuse...;;;;;;;;;;;;;x
EVTDESC_jp_4;The Obon Festival begins as a musician calls from the top of a wooden Yagura, calling everyone to to the Bon Odori. Without further ado, all will line around the tower, dancing the traditional dances and songs of their home prefectures to welcome the spirits of their ancestors.;;;;;;;;;;;;;x
EVTOPTA_jp_4;And of course, I shall join in!!;;;;;;;;;;;;;x
EVTOPTB_jp_4;I think I'll sit this one out...;;;;;;;;;;;;;x
EVTDESC_jp_5;As the song and dance continues into the night, the mood is festive and celebratory. As night descends on the land, great fires are lit, guiding the way for the spirits to return home.;;;;;;;;;;;x
EVTOPTA_jp_5;What a beautiful sight!!.;;;;;;;;;;;;;x
EVTDESC_jp_6;The Obon Festival comes to a close, and all of the guests begin to return to their homes. People are generally pleased with the celebrations this year.;;;;;;;;;;;;;x
EVTOPTA_jp_6;Ah, a good time indeed..;;;;;;;;;;;;;x
EVTDESC_jp_7;The Obon Festival has come to a close. As you return home, you reflect on the high quality of this year's celebrations.;;;;;;;;;;;;;x
EVTOPTA_jp_7;I will make sure to come again next time...;;;;;;;;;;;;;x

###########Hanami Festival###########
held_hanami_festival_timer;Held Hanami Festival;;;;;;;;;;;;;x
hanami_festival;Preparations for the Hanami Festival begin.;;;;;;;;;;;;;x
EVTDESC_jp_9;As the spring dews arrive you watch in awe to a magnificent display of cherry blossoms bursting from their buds before you. Your court decides to spend a leisurely week strolling your realms lively array of flowers floating in the cool air.;;;;;;;;;;;;;x
EVTOPTA_jp9;Sakura, sakura! Carry me in the winds...;;;;;;;;;;;;;x
EVTDESC_jp_10;You and your entourage arrive at a local outcropping surrounded by the sakura trees whose petals dance above you to the breeze. Your servants prepare for you a fine picnic as you sit beneath a tree contemplating on the calming breeze of nature that surrounds you...;;;;;;;;;;;;;x
EVTOPTA_jp_10;I'll spend this time to reminisce.;;;;;;;;;;;;;x
EVTOPTB_jp_10;...a haiku about the fragility of nature will do.;;;;;;;;;;;;;x
EVTDESC_jp_11;A servant pulls out a shakuhachi and gently serenades the entourage late into the night as lanterns illuminate the trees in a brilliant dance of light. Around you the soft murmurs of passerbys melt away in the wind as you reflect on your time outside the palace.;;;;;;;;;;;x
