###########Cultures###########
japonic;Japonic;;;;;;;;;;;;;x
togoku;Togoku;;;;;;;;;;;;;x
saigoku;Saigoku;;;;;;;;;;;;;x
kyushuan;Kyushuan;;;;;;;;;;;;;x
ezo;Ezo;;;;;;;;;;;;;x
ryukyuan;Ryukyuan;;;;;;;;;;;;;x
viet;Vietnamese;;;;;;;;;;;;;x
tonkinese;Tonkinese;;;;;;;;;;;;;x
annamese;Annamese;;;;;;;;;;;;;x
cochinchinese;Cochinchinese;;;;;;;;;;;;;x
muong;Muong;;;;;;;;;;;;;x
hoa;Hoa;;;;;;;;;;;;;x
hmong_mien;Hmong-Mien;;;;;;;;;;;;;x
hmong;Hmong;;;;;;;;;;;;;x
mien;Mien;;;;;;;;;;;;;x
hmu;Hmu;;;;;;;;;;;;;x
north_tai;Northern Tai;;;;;;;;;;;;;x
tai;Tai Dam;;;;;;;;;;;;;x
bouyei;Bouyei;;;;;;;;;;;;;x
zhuang;Zhuang;;;;;;;;;;;;;x
tay_nung;Tay-Nung;;;;;;;;;;;;;x
cambodian;Kampuchean;;;;;;;;;;;;;x
khmer;Khmer;;;;;;;;;;;;;x
khrom;Krom;;;;;;;;;;;;;x
loeu;Loeu;;;;;;;;;;;;;x
chamic;Chamic;;;;;;;;;;;;;x
cham;Cham;;;;;;;;;;;;;x
jarai;Jarai;;;;;;;;;;;;;x
philippine;Filipino;;;;;;;;;;;;;x
tagalog;Tagalog;;;;;;;;;;;;;x
ilocano;Ilocano;;;;;;;;;;;;;x
bicolano;Bicolano;;;;;;;;;;;;;x
pangasinense;Pangasinense;;;;;;;;;;;;;x
kapampangan;Kapampangan;;;;;;;;;;;;;x
bisaya;Bisaya;;;;;;;;;;;;;x
dumagat;Dumagat;;;;;;;;;;;;;x
ivatan;Ivatan;;;;;;;;;;;;;x
ibanag;Ibanag;;;;;;;;;;;;;x
cuyonon;Cuyonon;;;;;;;;;;;;;x
chavacano;Chavacano;;;;;;;;;;;;;x
balikbayan;Balikbayan;;;;;;;;;;;;;x
moro;Moro;;;;;;;;;;;;;x
igorot;Igorot;;;;;;;;;;;;;x
lumad;Lumad;;;;;;;;;;;;;x
negrito;Negrito;;;;;;;;;;;;;x
badjao;Badjao;;;;;;;;;;;;;x
mangyan;Mangyan;;;;;;;;;;;;;x
ivatan;Ivatan;;;;;;;;;;;;;x
southwestern_tai;Southwestern Tai;;;;;;;;;;;;;x
laotian;Laotian;;;;;;;;;;;;;x
korean;Korean;;;;;;;;;;;;;x
hangugin;Hangugin;;;;;;;;;;;;;x
chosunin;Chosunin;;;;;;;;;;;;;x
dayak;Dayak;;;;;;;;;;;;;x
nusantaran;Nusantaran;;;;;;;;;;;;;x
tionghoa;Tionghoa;;;;;;;;;;;;;x
malayan;Malayan;;;;;;;;;;;;;x
maluku;Maluku;;;;;;;;;;;;;x
sulawesi;Sulawesi;;;;;;;;;;;;;x
timor;Timor;;;;;;;;;;;;;x
acehnese;Acehnese;;;;;;;;;;;;;x
balinese;Balinese;;;;;;;;;;;;;x
banjarese;Banjarese;;;;;;;;;;;;;x
buginese;Bugis;;;;;;;;;;;;;x
east_timor;East Timor;;;;;;;;;;;;;x
gorontalo;Gorontalo;;;;;;;;;;;;;x
javanese;Javanese;;;;;;;;;;;;;x
kelantanese;Kelantanese;;;;;;;;;;;;;x
madurese;Madurese;;;;;;;;;;;;;x
maluku;Maluku;;;;;;;;;;;;;x
melayu;Melayu;;;;;;;;;;;;;x
minahasan;Minahasan;;;;;;;;;;;;;x
sasak_sumbawa;Sasak-Sumbawa;;;;;;;;;;;;;x
sumatran;Sumatran;;;;;;;;;;;;;x
sumba_flores;Sumba-Flores;;;;;;;;;;;;;x
sundanese;Sundanese;;;;;;;;;;;;;x
ternate;Ternate;;;;;;;;;;;;;x
west_timor;West Timor;;;;;;;;;;;;;x
singaporean;Singaporean;;;;;;;;;;;;;x
dal_nevostochnyy;Dal'nevostochnyy;;;;;;;;;;;;;x
primorskiy;Primorskiy;;;;;;;;;;;;;x
petropavlovskiy;Petropavlovskiy;;;;;;;;;;;;;x
tai_group;Tai Khon;;;;;;;;;;;;;x
thai_central;Khon Krung;;;;;;;;;;;;;x
thai_isan;Isan;;;;;;;;;;;;;x
thai_mueang;Mueang;;;;;;;;;;;;;x
burmic;Burmic;;;;;;;;;;;;;x
rakhine;Rakhine;;;;;;;;;;;;;x
myr;Myr;;;;;;;;;;;;;x
mon;Mon;;;;;;;;;;;;;x
karenic;Karenic;;;;;;;;;;;;;x
karen;Karen;;;;;;;;;;;;;x
karenni;Karenni;;;;;;;;;;;;;x
