###########Decisions###########
form_champa;Restore the Ancient Kingdom of Champa;;;;;;;;;;;;;x
form_champa_desc;Now that you have seized the ancient lands of Champa once more from all that oppose it, perhaps it is time to restore this ancient and mighty kingdom once again?;;;;;;;;;;;;;x,
form_sedang;Unite the Highland People!;;;;;;;;;;;;;x
form_sedang_desc;The Highlands of Indochina have all been seized by the Free people of the Highlands, perhaps it is time to unite all the people of the Highland in a mighty kingdom of their own?;;;;;;;;;;;;;x
form_hmong;Form the Confederacy of Hmong People!;;;;;;;;;;;;;x
form_hmong_desc;Becoming the modest power in our own right in this region of Asia, perhaps it is time to unite all our people into one mighty kingdom to stand the test of time.;;;;;;;;;;;;;x,
form_tai_confederacy;Restore the Confederation of Sip Song Chau Tai!;;;;;;;;;;;;;x
form_tai_confederacy_desc;Long Ago the Tai people were united in a single great confederacy perhaps it is time to forge a new brotherly bond with all Tai under one great Union?;;;;;;;;;;;;;x,,
form_tay_nung_state;Form the State of Tho!;;;;;;;;;;;;;x
form_tay_nung_state_desc;Long have the people of the Tay and Nung suffer under the yoke of other powers, now free from such influence perhaps it is time to forge a state as powerful of those that once controlled it?;;;;;;;;;;;;;x
restore_cao_dai_pope_in_tay_ninh;Restore The Holy See of [cao_dai.GetName]!;;;;;;;;;;;;;x
restore_cao_dai_pope_in_tay_ninh_desc;While the Holy City of [c_tay_ninh.GetName] may have fallen to heathens. The proud work of the devote followers of [cao_dai.GetName] has restored his heavenly see on earth!;;;;;;;;;;;;;x
form_khmer_empire;Restore The Old Empire!;;;;;;;;;;;;;x
form_khmer_empire_desc;[e_chakrphup_khmer.GetName], an ancient name of a splendorous time where the Khmer people ruled vast swath of lands under the divine harmony of Ancient God-kings and resplendid temples the envy of the world, Let us reclaim this ancient name as our own!;;;;;;;;;;;;;x
reciting_sutras;Recite a Sutra;;;;;;;;;;;;;x
reciting_sutras_desc;As an observant Buddhist, you often feel great pressure to rule your kingship in line with Dharma perhaps it is time to return to the sayings of Buddha for a bit clarity.;;;;;;;;;;;;;x
hold_vesak;Celebrate Vesak;;;;;;;;;;;;;x
hold_vesak_desc;Whether its called Vesak or Buddha Day, Buddhist celebrate the Birth, Nirvana, and Parinirvana of the Buddha which is usually accompanied by widespread celebration..;;;;;;;;;;;;;x
claim_lan_xang;Claim the lands of Lan Xang;;;;;;;;;;;;;x
claim_lan_xang_desc;Lao people once again found themselves divided, and the people along the Mekong fear of the days when rising powers will strip our glory pieces by pieces. Now that my glory have risen so far above fellow Lords of Laos. It is time to raise our parasol high, let all those stand oppose to us know of our combined strength and will and our great pride in safeguarding our land. (Such bold claim can only be made once in a lifetime);;;;;;;;;;;;;x
