#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

###########Rules###########
RULE_ORIENTALIS_LANDMARKS;Asian Landmarks;;;;;;;;;;;;;x
RULE_LANDMARKS_ON_DESC;Incredible natural formations, legendary monuments, and other unique locations will be noted and described in certain counties.;;;;;;;;;;;;;x
RULE_LANDMARKS_OFF_DESC;Landmarks will not be described. (Great Works will still be present, unless disabled using another game rule.);;;;;;;;;;;;;x
RULE_MONGOL_INVASION;Portugese Invasion;;;;;;;;;;;;;x
RULE_MONGOL_INVASION_HISTORICAL_DESC;The Portugese flotilla will arrive via India sometime between 2760 to 2850 seeking new lands for the Fifth Empire.;;;;;;;;;;;;;x
RULE_MONGOL_INVASION_RANDOM_DESC;The Portugese flotilla shall arrive when it feels and you can't stop it :).;;;;;;;;;;;;;x
RULE_MONGOL_INVASION_DELAYED_RANDOM_DESC;The Portugese flotilla shall arrive when it feels but you at least have a century to get ready just in case :).;;;;;;;;;;;;;x
RULE_MONGOL_INVASION_OFF_DESC;The Portugese flotilla crashed in India and the Europeans will never again step into the domains of Asia!;;;;;;;;;;;;;x
RULE_AZTEC_INVASION;§BSunrise Invasion:§! American Invasion;;;;;;;;;;;;;x
RULE_AZTEC_13TH;3rd Millennium;;;;;;;;;;;;;x
RULE_AZTEC_INVASION_HISTORICAL_DESC;Following the opening of trade with the Nations on the otherside of the Eastern Sea we have invited the wraith of the natives of those lands lets hope they aren't that angry...;;;;;;;;;;;;;x
RULE_AZTEC_INVASION_RANDOM_DESC;Well what the heck was that, why do I hear eagle screeching in my backyard?;;;;;;;;;;;;;x
RULE_AZTEC_INVASION_DELAYED_RANDOM_DESC;Well what the heck was that, i see ships slowly coming over the water I think we should be fine?;;;;;;;;;;;;;x
RULE_AZTEC_INVASION_OFF_DESC;Americans cannot boat, Asia is safe let the spices flow!;;;;;;;;;;;;;x
RULE_TURKIC_INVASIONS_HISTORICAL_DESC;The Turks of Central Asia hearing the call of their Uyghur brothers will ride into the Middle Kingdom to shake the Throne of Heaven itself in the 2900s.;;;;;;;;;;;;;x
RULE_TURKIC_INVASIONS_RANDOM_DESC;The Turks of Central Asia hearing the call of their Uyghur brothers will ride into the Middle Kingdom to shake the Throne of Heaven itself whether or not China is ready for it.;;;;;;;;;;;;;x
RULE_TURKIC_INVASIONS_OFF_DESC;The Call is not heard the Uyghur must defend their place against the might of the Eastern Dragon.;;;;;;;;;;;;;x
RULE_CHARLEMAGNE_STORY;§BThe Dragon Stirs:§! Story Event;;;;;;;;;;;;;x
RULE_CHARLEMAGNE_STORY_ON_DESC;The Events around the Rise of the Hong Empire on its path to ascend to the Celestial Throne of All of China will be Enabled.;;;;;;;;;;;;;x
RULE_CHARLEMAGNE_STORY_OFF_DESC;The Events around the Rise of the Hong Empire on its path to ascend to the Celestial Throne of All of China will be Disabled.;;;;;;;;;;;;;x
RULE_OTTO_STORY;§BThe Gilded Century:§! Story Event;;;;;;;;;;;;;x
RULE_OTTO_STORY_ON_DESC;The Story Events around the Age of Discovery and the New World will be Enabled.;;;;;;;;;;;;;x
RULE_OTTO_STORY_OFF_DESC;The Story Events around the Age of Discovery and the New World will be Disabled.;;;;;;;;;;;;;x
RULE_SHEPHERDS_CRUSADE;§BSons of Lions:§! Lion Prince's Crusade;;;;;;;;;;;;;x
RULE_SHEPHERDS_CRUSADE_ON;The Christian Popular Crusade from Singapore is Enabled.;;;;;;;;;;;;;x
RULE_SHEPHERDS_CRUSADE_OFF;The Christian Popular Crusade from Singapore is Disabled.;;;;;;;;;;;;;x
RULE_FOURTH_CRUSADE;§BHoly Fury:§! The Yihetuan Crusade;;;;;;;;;;;;;x
RULE_FOURTH_CRUSADE_ON;The Events of the Yihetuan Crusade against China is Enabled.;;;;;;;;;;;;;x
RULE_FOURTH_CRUSADE_OFF;The Events of the Yihetuan Crusade against China is Disabled.;;;;;;;;;;;;;x
RULE_CHILDRENS_CRUSADE;§BHoly Fury:§! The Moonie Crusade;;;;;;;;;;;;;x
RULE_CHILDRENS_CRUSADE_ON;The Events of the Unificationist Crusade of Korea is Enabled.;;;;;;;;;;;;;x
RULE_CHILDRENS_CRUSADE_OFF;The Events of the Unificationist Crusade of Korea is Disabled.;;;;;;;;;;;;;x
RULE_NORTHERN_CRUSADE;§BHoly Fury:§! The Atauru Crusade;;;;;;;;;;;;;x
RULE_NORTHERN_CRUSADE_ON;The Events of the Atauru Crusade is Enabled.;;;;;;;;;;;;;x
RULE_NORTHERN_CRUSADE_OFF;The Events of the Atauru Crusade is Disabled.;;;;;;;;;;;;;x
RULE_RECONQUISTA;§BHoly Fury:§! Reconquista;;;;;;;;;;;;;x
RULE_RECONQUISTA_ON;The Events of Moorish Crusades is Enabled.;;;;;;;;;;;;;x
RULE_RECONQUISTA_LIMITED;The Events of Moorish Crusades is Enabled but Adventurers are Disabled.;;;;;;;;;;;;;x
RULE_RECONQUISTA_OFF;The Events of Moorish Crusades is Disabled.;;;;;;;;;;;;;x
RULE_HELLENISM;Manichean Revival;;;;;;;;;;;;;x
RULE_HELLENISM_ON;Under rare circumstances,rulers in China will discover the ancient "Religion of Light" of the Ancient Tang Dynasty.;;;;;;;;;;;;;x
RULE_HELLENISM_OFF;The events and decision dealing with the rise of Manichean thought are disabled.;;;;;;;;;;;;;x
