###########Special and Religious Title###########



###########Secular (Feudal) Title###########


kingdom_of_southwest_tai;Monthon;;;;;;;;;;;;;x
king_southwest_tai;Phraya;;;;;;;;;;;;;x
king_female_southwest_tai;Khun;;;;;;;;;;;;;x
duchy_of_southwest_tai;Monthon;;;;;;;;;;;;;x
duke_southwest_tai;Khun;;;;;;;;;;;;;x
duke_female_southwest_tai;Khun;;;;;;;;;;;;;x
county_of_southwest_tai;Mueang;;;;;;;;;;;;;x
count_southwest_tai;Chao Mueang;;;;;;;;;;;;;x
count_female_southwest_tai;Nang;;;;;;;;;;;;;x
barony_of_southwest_tai;Khwaeng;;;;;;;;;;;;;x
baron_southwest_tai;Phuwa;;;;;;;;;;;;;x
baron_female_southwest_tai;Phuwa;;;;;;;;;;;;;x

city_king_southwest_tai;Rattha-Setthi;;;;;;;;;;;;;x
city_king_female_southwest_tai;Rattha-Setthi;;;;;;;;;;;;;x
city_duke_southwest_tai;Montri;;;;;;;;;;;;;x
city_duke_female_southwest_tai;Montri;;;;;;;;;;;;;x
city_count_southwest_tai;Nayok;;;;;;;;;;;;;x
city_count_female_southwest_tai;Nayok;;;;;;;;;;;;;x
city_baron_southwest_tai;Phuwa;;;;;;;;;;;;;x
city_baron_female_southwest_tai;Phuwa;;;;;;;;;;;;;x
city_kingdom_of_southwest_tai;Rath;;;;;;;;;;;;;x
city_duchy_of_southwest_tai;Monthon-Kankha;;;;;;;;;;;;;x
city_county_of_southwest_tai;Mueang;;;;;;;;;;;;;x
city_barony_of_southwest_tai;Khet;;;;;;;;;;;;;x
temple_barony_of_southwest_tai;Wat;;;;;;;;;;;;;x
###########Viceroy Title###########
vice_royalty_kingdom_of_southwest_tai;Monthon Phak;;;;;;;;;;;;;x
vice_royalty_king_southwest_tai;Uparach Phak;;;;;;;;;;;;;x
vice_royalty_king_female_southwest_tai;Uparach Phak;;;;;;;;;;;;;x
vice_royalty_duke_of_southwest_tai;Monthon;;;;;;;;;;;;;x
vice_royalty_duke_southwest_tai;Kha-Luang Monthon;;;;;;;;;;;;;x
vice_royalty_duke_female_southwest_tai;Kha-Luang Monthon;;;;;;;;;;;;;x
###########Easter Egg###########
kingdom_of_mueang;Anachak;;;;;;;;;;;;;x
duchy_of_laotian;Anachak;;;;;;;;;;;;;x
kingdom_of_sukhothai;Anachak;;;;;;;;;;;;;x
king_laotian;Samdach Brhat Chao;;;;;;;;;;;;;x
king_female_laotian;Samdach Chaoying;;;;;;;;;;;;;x
duke_laotian;Chao;;;;;;;;;;;;;x
duke_female_laotian;Chaoying;;;;;;;;;;;;;x
duke_shan;Sao-Pha;;;;;;;;;;;;;x
duke_female_laotian;Chao-pha Ying;;;;;;;;;;;;;x
count_shan;Sao-Hkun;;;;;;;;;;;;;x
