###########Mercenary Unlanded Titles###########
d_biwa_band;Biwa Band;Biwa Band;Biwa Band;;Biwa Band;;;;;;;;;x
d_blue_company;Blue Company;Blue Company;Blue Company;;Blue Company;;;;;;;;;x
d_grand_lion_company;Grand Lion Company;Grand Lion Company;Grand Lion Company;;Grand Lion Company;;;;;;;;;x
d_hanshin_tigers;Tigers of Hanshin;Tigers of Hanshin;Tigers of Hanshin;;Tigers of Hanshin;;;;;;;;;x
d_orient_brigade;Orient Brigade;Orient Brigade;Orient Brigade;;Orient Brigade;;;;;;;;;x
d_trung_sisterhood;Trung Sisterhood;Fraternité de Trung;Trung Schwesternschaft;;Hermandad de Trung;;;;;;;;;x
d_dragon_lords;Dragon Lords;Seigneurs de Dragons;Drachenlords;;Reyes Dragón;;;;;;;;;x
d_golden_star_dragons;Golden Star Dragons;Dragon étoile d'or;Goldener Stern Drache;;Dragón Estrella Dorada;;;;;;;;;x
d_knights_of_lavang;Eucharistic Knights of La Vang;Chevaliers eucharistiques de la Vang;Eucharistie-Ritter von La Vang;;Eucaristía Caballeros de La Vang;;;;;;;;;x
d_knights_of_bim;Knights of the Blessed Ivan Merz;;;;;;;;;;;;;x
d_army_of_the_immaculate_heart;Army of the Immaculate Virgin Mother;;;;;;;;;;;;;x
d_knightly_brothers_marist;Knightly Brothers Marist;;;;;;;;;;;;;x
d_soldiers_of_solidarity;Soldiers of Solidarity;;;;;;;;;;;;;x
d_salvation_army;Salvation Army;;;;;;;;;;;;;x
d_army_of_the_word;Army of the Lord's Words;;;;;;;;;;;;;x
d_knights_of_amity;Knights of Amity;;;;;;;;;;;;;x
d_boys_brigade;Boy's Brigade;;;;;;;;;;;;;x
d_knights_of_our_mother_of_sheshan;Knights of Our Mother of Sheshan;;;;;;;;;;;;;x
d_millenial_army_of_the_almighty_god;Millenial Army of the Almighty;;;;;;;;;;;;;x
d_guardians_of_the_city_of_sun;Guardians of the City of Sun;;;;;;;;;;;;;x
d_order_of_st_vladimir;Order of St.Vladimir;;;;;;;;;;;;;x
