###########Extra Strings###########
farm_terrace;Terrace Farms;;;;;;;;;;;;;x

#######Trigger Localization########
is_vajrayana;Is a Follower of a Vajarayana Sect.;;;;;;;;;;;;;x
is_theravada;Is a Follower of a Theravada Sect.;;;;;;;;;;;;;x
is_mahayana_chinese;Is a Follower The Chinese Mahayana Schools.;;;;;;;;;;;;;x
is_mahayana_japanese;Is a Follower The Japanese Mahayana Schools.;;;;;;;;;;;;;x
is_sinic;Is Culturally Part of the Sinic Sphere.;;;;;;;;;;;;;x
is_bureaucratic_religion;Religions part of legalistic structures.;;;;;;;;;;;;;x
is_oversea_chinese;Is part of the overseas chinese community.;;;;;;;;;;;;;x
has_sufi_societies_religion_sunni;There is a Sunni Tariq.;;;;;;;;;;;;;x
is_sufi_member_trigger;Is a member of a Tariq.;;;;;;;;;;;;;x
is_sunni;Is Sunni;;;;;;;;;;;;;x
