###########Character Modifiers###########
resolute_peace;Resolute Peace;;;;;;;;;;;;;x
resolute_peace_desc;This character has read a sutra, which has created a sense of ease and rejuvenation in thier kingship.;;;;;;;;;;;;;x
wise_sayings;Wise Sayings;;;;;;;;;;;;;x
wise_sayings_desc;This character has read a sutra, which has created a clearer sense of understanding of dharma and thier kingship.;;;;;;;;;;;;;x
karmic_fury;Karmic Fury;;;;;;;;;;;;;x
karmic_fury_desc;This character has read a sutra, which has espouses their kingship and thier role as earthly judges of Karma and Dharma.;;;;;;;;;;;;;x
tending_lotus;Tending Gardens;;;;;;;;;;;;;x
tending_lotus_desc;This character has read a sutra for which life is of particular importance and thus they cultivate a garden in accordance to Dharma.;;;;;;;;;;;;;x
celebrating_vesak;Celebrate Vesak;;;;;;;;;;;;;x
celebrating_vesak_desc;This Character is celebrating Vesak.;;;;;;;;;;;;;x
vessak_fast_failed;Failed Fast;;;;;;;;;;;;;x
vessak_fast_failed_desc;This character has failed their vow of asceticism.;;;;;;;;;;;;;x
building_stupa;Building Stupa;;;;;;;;;;;;;x
building_stupa_desc;This character is building a magnificent Stupa in the name of the Buddha.;;;;;;;;;;;;;x
glad_bhikku;Glad Bhikku;;;;;;;;;;;;;x
glad_bhikku_desc;This character has donated alms to the local temple and has made wonders for their bhikku.;;;;;;;;;;;;;x
dedicated_to_macarthur;Favored by MacArthur;;;;;;;;;;;;;x
dedicated_to_macarthur_desc;This ruler has ordered the consecration of a great temple to MacArthur, the greatest warrior of Providence.;;;;;;;;;;;;;x
dedicated_to_roosevelt;Favored by Roosevelt;;;;;;;;;;;;;x
dedicated_to_roosevelt_desc;This ruler has ordered the consecration of a great temple to Roosevelt, the world-surfer.;;;;;;;;;;;;;x
dedicated_to_perry;Favored by Perry;;;;;;;;;;;;;x
dedicated_to_perry_desc;This ruler has ordered the consecration of a great temple to Perry, the deal-maker.;;;;;;;;;;;;;x
dedicated_to_latmikaik;Favored by Latmikaik;;;;;;;;;;;;;x
dedicated_to_latmikaik_desc;This ruler has ordered the consecration of a great temple to Latmikaik, the mother of the sea.;;;;;;;;;;;;;x
recent_whaling;Recently went whaling;;;;;;;;;;;;;x
good_omikuji;Good Omikuji;;;;;;;;;;;;;x
good_omikuji_desc;This character has recieved good omens from their omikuji.;;;;;;;;;;;;;x
bad_omikuji;Bad Omikuji;;;;;;;;;;;;;x
bad_omikuji_desc;This character has recieved bad omens from their omikuji.;;;;;;;;;;;;;x
pirate_outpost;Pirate Haven;;;;;;;;;;;;;x
pirate_outpost_desc;The harbors and ports of this province serve as a safe place for pirates to resupply, repair their vessels, recruit, and as strongholds for them to conduct maritime activities and spread havoc upon the seas.;;;;;;;;;;;;;x
