#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

#####ATE ISLAM EVENTS#####

### HAJJ REWRITEN EVENT ###

EVTTITLE_HAJJ;Performing the Hajj;;;;;;;;;;;;;x
EVTDESC_hajj201;Every Pious Muslim must at least complete the Hajj to the Great City of Mecca once in the thier life. Home to the myriad of important activities whose traditions have existed since the ancient times before the Event. As you embark on this journey, you can't help but watch your home fade into the distance, stately matters can wait, for you are have higher things to attend to.;;;;;;;;;;;;;x

EVTOPT_SEA_HAJJ;By Boat, I'll reach Mecca;;;;;;;;;;;;;x
EVTOPT_LAND_HAJJ;By Land, I'll reach Mecca;;;;;;;;;;;;;x

EVTDESC_hajj50;Your entourage makes its way for the harbor, where you will have to find a voyage to the land of the Prophet. You muse over the offers of "Safe Travels" that you have heard beckoned to you by a series of questionable men.;;;;;;;;;;;;;x
EVTOPT_hajjship;A merchant ship is fine enough, we will pay the fee.;;;;;;;;;;;;;x
EVTOPT_hajjpirates;These corsairs request little for travel...;;;;;;;;;;;;;x

EVTDESC_piratemecca;"We're here, Milord!" One of the Corsairs calls to you. You are rapidly approaching a very small island, with no discerning features minus a few trees and a large black stone at its center. Wait... is this actually Mecca..? Mecca wasn't on an island...;;;;;;;;;;;;;x
EVTOPT_fakemecca;Well... I suppose... I will put faith in them...;;;;;;;;;;;;;x
EVTOPT_hajjfightpirates;This is highway - ehrm, maritime robbery! To arms!!!;;;;;;;;;;;;;x
EVTDESC_HAJJCONTINUES;Through a miracle of superior tactics, the pirates lay dead, scattered across the island. Whilst you and your men have sustained injuries, their ships are laid bare to you. Your injured crew gains control of the vessel, and sets off once more, westward for Mecca.;;;;;;;;;;;;;x
EVTOPT_hajjcontinues;Onwards to Mecca!!;;;;;;;;;;;;;x

EVTDESC_hajjfailedliar;Whilst you may have set out from home in a triumphant parade, returning back has been met with dozens of scowls. Its very obvious you didnt reach Mecca, and noone buys the lie.;;;;;;;;;;;;;x
EVTOPT_failedhajj;How could we have failed so badly...;;;;;;;;;;;;;x

EVTDESC_hajjfailed;Whilst you may have set out from home in a triumphant parade, returning back has been shameful. By one means or another - you failed to reach Mecca.;;;;;;;;;;;;;x
EVTOPT_failedhajjliar;I suppose I had this coming...;;;;;;;;;;;;;x

EVTDESC_hajj62;Your entourage makes its way to the bazaar where you are to meet with a merchant company to make the land trek to the blessed lands of the Prophet. You muse over the offers of "Safe Travels" that you have heard beckoned to you by a series of questionable men.;;;;;;;;;;;;;x
EVTOPT_hajjlandroute;These merchants drive a hard bargain, we will pay the fee.;;;;;;;;;;;;;x
EVTOPT_hajjraiders;These "trustworthy" horsemen request little...;;;;;;;;;;;;;x

EVTOPT_fakemeccaland;Well... I suppose... I will put faith in them...;;;;;;;;;;;;;x
EVTOPT_hajjfightraidersland;Oh no a highway robbbery To arms!!!;;;;;;;;;;;;;x
EVTDESC_HAJJLANDCONTINUE;Through a miracle of superior tactics, the raiders laid slain along the dust swept expanse of the plains. Whilst you and your men have sustained injuries, their ships are laid bare to you. Your injured crew gains control of the vessel, and sets off once more westward for Mecca.;;;;;;;;;;;;;x
EVTOPT_hajjpacificonwards;Onwards to Mecca!!;;;;;;;;;;;;;x

EVTTITLE_HAJJINDIA;The Port of Mumbai;;;;;;;;;;;;;x
EVTDESC_hajjindia;Its been a long voyage from your homeland, and it has been full of obstacles. But at the sight of land, your stress evaporated. "Behold the Crown jewel of Maharashtra" A crew member calls out. Our ship steadily coasts into a large harbor beckoning with buildings blazon with the flags of the many faiths of the city.\n You pensively look out across the Harbor. Many ships of all sorts of queer design fill the harbor, as peculiar men wander the port harkening their wares. You watched amazed as the cosmopolitan city play host many faiths and theological debates between wise sages and muftis. But of course India is not your target so you turn your gaze westward to Mecca, will you turn back now or make the journey further west?;;;;;;;;;;;;;x
EVTOPT_hajjsea;Do I have to choose?;;;;;;;;;;;;;x

EVTTITLE_HAJJSAMARKAND;The Quarters in Samarkand;;;;;;;;;;;;;x
EVTDESC_hajjsamarkand;Its been a long trek from your home, and it has been full of obstacles. But at the sight of the bustling bazaar of Transoxiana territory, your stress evaporates. "Behold the jewel of Transoxiana!" A caravan member calls out. Our Caravan enters the bazaar of this gleaming city of Samarkand, full of wonder and life.\n You walk pensively through the markets in deep thought. When the armies of the Caliphs swept from the West to the Steppes the peoples here accepted the faith of the Prophet and in their dedication built great houses of wisdom. It is said that great scholars have made great contributions of sufi thought in ages long ago in these ancient ulemas. If any time was the time to turn around, it is now. But surely, with the great distance already travelled, it would all be for naught if you turned around now...;;;;;;;;;;;;;x
EVTOPT_hajjland;I will revisit these thoughts later...;;;;;;;;;;;;;x

EVTDESC_hajj68;Your time venturing through the city has come to a close and with that it is undeniable that the greatest thing you will take from this land is...;;;;;;;;;;;;x
EVTOPT_hajjajfriend;My wonderful new friend, who will sail with us.;;;;;;;;;;;;;x
EVTOPT_hajjajmoney;A great bounty of wealth I haggled for with the local traders.;;;;;;;;;;;;;x
EVTOPT_hajjajtech;A vast sum of knowledge I have acquired from the way these foreigners live.;;;;;;;;;;;;;x

EVTDESC_hajj69;While you are far from your home, seeing so many peoples and places of great splendor you began to second guess yourself and your journey so far, is this enough for one lifetime or press onwards to see the wonders of faith in the holy lands of the prophet.;;;;;;;;;;;;;x
EVTOPT_hajjgohome;Im lucky to be alive. This has been a grand journey, but I'll head home.;;;;;;;;;;;;;x
EVTOPT_hajjgohomelie;Those at home don't need to know the truth. I've already seen Mecca, anyway..;;;;;;;;;;;;;x
EVTOPT_onwards;What a bunch of nonsense. I will see Mecca or die trying.;;;;;;;;;;;;;x

### ZIYARA EVENT ###

EVTTITLE_ZIYARA;A Trip to the Shrines;;;;;;;;;;;;;x
ZIYARA_KANIMAMSAN;The Islamic World is a wide and diverse place. Having a rich history of blessed shrines, mosque and other features that can be just as important as conducting the Hajj to Mecca. Whether it be for shrines of the Walis or the tomb of the venerable Imam San, bringer of Islam to Kampuchea, as a pious Muslim you may visit these blessed places anytime...;;;;;;;;;;;;;x
ZIYARA_NUSANTARA;The Islamic World is a wide and diverse place. Having a rich history of blessed shrines, mosque and other features that can be just as important as conducting the Hajj to Mecca. Whether it be for shrines of the Walis or the grand mosques of Nusantara, the islands of Nusantara has since widely embraced the light of the Ummah and any pious Muslim you may visit these blessed places anytime...;;;;;;;;;;;;;x
EVTDESC_hajj202;The Islamic World is a wide and diverse place. Having a rich history of blessed shrines, mosque and other features that can be just as important as the conducting the Hajj to Mecca. Whether it be for splendorous Madrasas funded by the Caliphs of Old or the dedications to the Prophet Muhammad, his family and companions, as a pious Muslim you may visit these blessed places anytime...;;;;;;;;;;;;;x

EVTOPTA_ZIYARA_NUSANTARA_GENERAL;I shall see about traveling to the shrines of the Wali...;;;;;;;;;;;;;x
EVTOPTB_ZIYARA_HUI_GENERAL;I shall travel and walk the wise Ma Sages Path...;;;;;;;;;;;;;x
EVTOPTC_ZIYARA_SPECIAL_BANI;I shall take the Kate to the shrine of Martyrs...;;;;;;;;;;;;;x
EVTOPTD_ZIYARA_SPECIAL_KIS;I shall pay my respect to The Venerable Imam...;;;;;;;;;;;;;x

EVTOPTA_ZIYARA_DEMAK;I shall pay respects to the Wali Songo...;;;;;;;;;;;;;x

EVTDESC_hajjtoimamsantomb;Whilst Mecca and Medina hold great religious significance to all pious Muslims, there are plenty of other sites to visit. The Tomb of the Venerable Imam San is an especially important figure that lay at rest in his tomb in Oudong.;;;;;;;;;;;;;x
EVTDESC_hajjtotwinheroshrine;Whilst Mecca and Medina hold great religious significance to all pious Muslims, there are plenty of other sites to visit. The Shrines of the Twin Hero Martyrs is an often traversed hallmark of the Mbeng Kate a festival celebrating the Martyrs of Old.;;;;;;;;;;;;;x
EVTDESC_hajjtodemak;Whilst Mecca and Medina hold great religious significance to all pious Muslims, there are plenty of other sites to visit. The Great Mosque in Demak pays great respects to the Wali Songo, Nine-Saints that spread the Ummah to Java.;;;;;;;;;;;;;x
EVTOPT_hajjtocity;All are equal in front of God!;;;;;;;;;;;;;x

EVTTITLE_HAJJIMAMSANTOMB;Atop Phnom Oudong;;;;;;;;;;;;;x
