###########Orientalis Nicknames###########
nick_the_demon_king;the Demon King;;;;;;;;;;;;;x
nick_iron_man;the Iron Man;;;;;;;;;;;;;x
nick_the_warhawk;the Warhawk;;;;;;;;;;;;;x
nick_the_methuselah;the Methuselah;;;;;;;;;;;;;x
nick_the_twofingered;the Two-Fingered;;;;;;;;;;;;;x
nick_the_vodyantikha;the Vodyantikha;;;;;;;;;;;;;x
nick_the_priest_son;the Priest's Son;;;;;;;;;;;;;x
nick_the_bogatyr;the Bogatyr;;;;;;;;;;;;;x
nick_the_unbeaten;the Unbeaten;;;;;;;;;;;;;x
nick_the_wildman;the Wildman;;;;;;;;;;;;;x
nick_the_eofk;the Eye of the Kite;;;;;;;;;;;;;x
nick_the_polyanitsa;the Polyanitsa;;;;;;;;;;;;;x
nick_the_pseudo_cosmonaut;the Pseudo-Cosmonaut;;;;;;;;;;;;;x
nick_the_open_handed;the Open-Handed;;;;;;;;;;;;;x
nick_the_cosmist;the Cosmist;;;;;;;;;;;;;x
nick_the_baby_eater;the Baby-Eater;;;;;;;;;;;;;x
nick_the_autocrat;the Autocrat;;;;;;;;;;;;;x
nick_the_capable;the Capable;;;;;;;;;;;;;x
nick_the_snow_leopard;the Snow Leopard;;;;;;;;;;;;;x
nick_the_sorcerer;the Sorcerer;;;;;;;;;;;;;x
nick_the_siren;the Siren;;;;;;;;;;;;;x
nick_the_bomoh;the Bomoh;;;;;;;;;;;;;x
nick_the_ivory_dragon;the Ivory Dragon;;;;;;;;;;;;;x
nick_the_conquerer_of_demons;the Conquerer of Demons;;;;;;;;;;;;;x
nick_the_piratical;the Piratical;;;;;;;;;;;;;x
nick_the_heavenly_man;the Heavenly Man;;;;;;;;;;;;;x
nick_the_white_baron;the White Baron;;;;;;;;;;;;;x
nick_the_woman_knight;the Woman Knight;;;;;;;;;;;;;x
nick_jin;Jin;;;;;;;;;;;;;x
nick_the_tiger;the Tiger;;;;;;;;;;;;;x
nick_gods_warrior;God's Warrior;;;;;;;;;;;;;x
