###########India Title Localization###########
WESTERN_GOVERNOR_MALE;Protector General;Général-Protecteur;Generalprotektor;;Protector general;;;;;;;;;x
WESTERN_GOVERNOR_FEMALE;Protector General;Générale-Protectrice;Generalprotektorin;;Protectora general;;;;;;;;;x
WESTERN_GOVERNOR_TITLE_FOA;Your Illustriousness;Votre Illustre Grandeur;Eure Erhabenheit;;Su Ilustrísima;;;;;;;;;x
e_india_east_governor;Eastern Governate;Protectorat des Régions de l'Ouest;Westliches Protektorat;;Protectorado occidental;;;;;;;;;x
e_india_east_governor_adj;Indian;chinoise;Chinesisch;;chino;;;;;;;;;x
e_india;Empire of India;Empire de Chine;Kaiserreich von India;;Imperio de India;;;;;;;;;x
china_stable;Stable;Stable;Stabil;;Estable;;;;;;;;;x
china_unrest;Unrest;Agitation;Unruhe;;Descontento;;;;;;;;;x
china_civil_war;Civil War;Guerre civile;Bürgerkrieg;;Guerra civil;;;;;;;;;x
china_mongol_invasion;Being Invaded by Punjabi Princes;Invasion par les Mongols;Wird von Mongolen überfallen;;Invadidos por los mongoles;;;;;;;;;x
china_jurchen_invasion;Being Invaded by Telugu Lords;Invasion par les Jurchen;Wird von Jurchen überfallen;;Invadidos por los yurchen;;;;;;;;;x
china_famine;Great Famine;Grande famine;Große Hungersnot;;Gran hambruna;;;;;;;;;x
china_plague;Devastating Plague;Épidémie dévastatrice;Verheerende Pest;;Peste devastadora;;;;;;;;;x
china_golden_age;Golden Age;Age d'or;Goldenes Zeitalter;;Edad de Oro;;;;;;;;;x
TXT_GRACE;Favor;Grâce;Gunst;;Gracia;;;;;;;;;x
title_india_emperor;Emperor;Empereur;Kaiser;;Emperador;;;;;;;;;x
tang_china;Maurya;Chine Tang;Tang;;Tang;;;;;;;;;x
jin_china;Mughal;Chine Jin;Jin;;Jin;;;;;;;;;x
wei_china;Gupta;Chine Wei;Wei;;Wei;;;;;;;;;x
qi_china;Delhi;Chine Qi;Qi;;Qi;;;;;;;;;x
zhou_china;Maratha;Chine Zhou;Zhou;;Zhou;;;;;;;;;x
han_china;Kushan;Chine Han;Han;;Han;;;;;;;;;x
qin_china;Harshan;Chine Qin;Qin;;Qin;;;;;;;;;x
yan_china;Shunga;Chine Yan;Yan;;Yan;;;;;;;;;x
zhao_china;Satavahana;Chine Zhao;Zhao;;Zhao;;;;;;;;;x
liao_china;Vakataka;Chine Liao;Liao;;Liao;;;;;;;;;x
yuan_china;Kamarupa;Chine Yuan;Yuan;;Yuan;;;;;;;;;x
