## ATEO : Japan mini mod

## Cultural titles

emperor_japonic;Prime Minister;;;;;;;;;;;;;x
emperor_female_japonic;Prime Minister;;;;;;;;;;;;;x
king_japonic;State Governor;;;;;;;;;;;;;x
king_female_japonic;State Governor;;;;;;;;;;;;;x
kingdom_japonic;State;;;;;;;;;;;;;x
kingdom_of_japonic;State of;;;;;;;;;;;;;x
duke_japonic;Governor;;;;;;;;;;;;;x
duke_female_japonic;Governor;;;;;;;;;;;;;x
duchy_japonic;Prefecture;;;;;;;;;;;;;x
duchy_of_japonic;Prefecture of;;;;;;;;;;;;;x
count_japonic;Representative;;;;;;;;;;;;;x
count_female_japonic;Representative;;;;;;;;;;;;;x
county_japonic;Subprefecture;;;;;;;;;;;;;x
county_of_japonic;Subprefecture of;;;;;;;;;;;;;x
baron_japonic;Headman;;;;;;;;;;;;;x
baron_female_japonic;Headwoman;;;;;;;;;;;;;x
barony_japonic;Municipality;;;;;;;;;;;;;x
barony_of_japonic;Municipality of;;;;;;;;;;;;;x
city_king_japonic;Director-General;;;;;;;;;;;;;x
city_king_female_japonic;Director-General;;;;;;;;;;;;;x
city_kingdom_japonic;Zaibatsu;;;;;;;;;;;;;x
city_kingdom_of_japonic;Zaibatsu of;;;;;;;;;;;;;x
city_duke_japonic;President;;;;;;;;;;;;;x
city_duke_female_japonic;President;;;;;;;;;;;;;x
city_duchy_japonic;Company;;;;;;;;;;;;;x
city_duchy_of_japonic;Company of;;;;;;;;;;;;;x
city_count_japonic;Manager;;;;;;;;;;;;;x
city_count_female_japonic;Manager;;;;;;;;;;;;;x
city_county_japonic;District;;;;;;;;;;;;;x
city_county_of_japonic;District of;;;;;;;;;;;;;x
city_baron_japonic;Mayor;;;;;;;;;;;;;x
city_baron_female_japonic;Mayor;;;;;;;;;;;;;x
city_barony_japonic;City;;;;;;;;;;;;;x
city_barony_of_japonic;City of;;;;;;;;;;;;;x
emperor_job_chancellor_japonic;Chief Cabinet Secretary;;;;;;;;;;;;;;x
emperor_job_marshal_japonic;Minister of Defense;;;;;;;;;;;;;;x
emperor_job_treasurer_japonic;Minister of Finance;;;;;;;;;;;;;;x
emperor_job_spymaster_japonic;Commissioner of Police;;;;;;;;;;;;;;x
job_chancellor_japonic;Somu Bucho;;;;;;;;;;;;;;x
job_marshal_japonic;Butaicho;;;;;;;;;;;;;;x
job_treasurer_japonic;Keiri Bucho;;;;;;;;;;;;;;x
job_spymaster_japonic;Keisatsu Shocho;;;;;;;;;;;;;;x
emperor_job_chancellor_kouzoku;Grand Chamberlain;;;;;;;;;;;;;;x
emperor_job_marshal_kouzoku;Imperial Guard Commissioner;;;;;;;;;;;;;;x
emperor_job_treasurer_kouzoku;Grand Steward;;;;;;;;;;;;;;x
emperor_job_spymaster_kouzoku;Director of Management;;;;;;;;;;;;;;x
king_job_chancellor_kouzoku;Grand Chamberlain;;;;;;;;;;;;;;x
king_job_marshal_kouzoku;Imperial Guard Commissioner;;;;;;;;;;;;;;x
king_job_treasurer_kouzoku;Grand Steward;;;;;;;;;;;;;;x
king_job_spymaster_kouzoku;Director of Management;;;;;;;;;;;;;;x
emperor_ainu;Prime Minister;;;;;;;;;;;;;x
emperor_female_ainu;Prime Minister;;;;;;;;;;;;;x
king_ainu;State Governor;;;;;;;;;;;;;x
king_female_ainu;State Governor;;;;;;;;;;;;;x
kingdom_ainu;State;;;;;;;;;;;;;x
kingdom_of_ainu;State of;;;;;;;;;;;;;x
duke_ainu;Governor;;;;;;;;;;;;;x
duke_female_ainu;Governor;;;;;;;;;;;;;x
duchy_ainu;Prefecture;;;;;;;;;;;;;x
duchy_of_ainu;Prefecture of;;;;;;;;;;;;;x
count_ainu;Representative;;;;;;;;;;;;;x
count_female_ainu;Representative;;;;;;;;;;;;;x
county_ainu;Subprefecture;;;;;;;;;;;;;x
county_of_ainu;Subprefecture of;;;;;;;;;;;;;x
baron_ainu;Headman;;;;;;;;;;;;;x
baron_female_ainu;Headwoman;;;;;;;;;;;;;x
barony_ainu;Municipality;;;;;;;;;;;;;x
barony_of_ainu;Municipality of;;;;;;;;;;;;;x
