#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_annan;Annan;Annan;Annan;;Annan;;;;;;;;;x
b_annan_adj;Annanian;;annaner;;;;;;;;;;;x
b_bade;Bade;Bade;Bade;;Bade;;;;;;;;;x
b_bade_adj;Badean;;bader;;;;;;;;;;;x
b_banqiao;Banqiao;Banqiao;Banqiao;;Banqiao;;;;;;;;;x
b_banqiao_adj;Banqian;;banqer;;;;;;;;;;;x
b_beigang;Beigang;Beigang;Beigang;;Beigang;;;;;;;;;x
b_beigang_adj;Beigangian;;beiganger;;;;;;;;;;;x
b_chenggong;Chenggong;Chenggong;Chenggong;;Chenggong;;;;;;;;;x
b_chenggong_adj;Chenggongian;;chenggonger;;;;;;;;;;;x
b_ciaotou;Ciaotou;Ciaotou;Ciaotou;;Ciaotou;;;;;;;;;x
b_ciaotou_adj;Ciaotian;;ciaoter;;;;;;;;;;;x
b_daan;Da'an;Da'an;Da'an;;Da'an;;;;;;;;;x
b_daan_adj;Da'anian;;da'aner;;;;;;;;;;;x
b_douliu;Douliu;Douliu;Douliu;;Douliu;;;;;;;;;x
b_douliu_adj;Doulian;;douler;;;;;;;;;;;x
b_dounan;Dounan;Dounan;Dounan;;Dounan;;;;;;;;;x
b_dounan_adj;Dounanian;;dounaner;;;;;;;;;;;x
b_fenglin;Fenglin;Fenglin;Fenglin;;Fenglin;;;;;;;;;x
b_fenglin_adj;Fenglinian;;fengliner;;;;;;;;;;;x
b_fongshan;Fongshan;Fongshan;Fongshan;;Fongshan;;;;;;;;;x
b_fongshan_adj;Fongshanian;;fongshaner;;;;;;;;;;;x
b_fuxing;Fuxing;Fuxing;Fuxing;;Fuxing;;;;;;;;;x
b_fuxing_adj;Fuxingian;;fuxinger;;;;;;;;;;;x
b_guanshan;Guanshan;Guanshan;Guanshan;;Guanshan;;;;;;;;;x
b_guanshan_adj;Guanshanian;;guanshaner;;;;;;;;;;;x
b_guishan;Guishan;Guishan;Guishan;;Guishan;;;;;;;;;x
b_guishan_adj;Guishanian;;guishaner;;;;;;;;;;;x
b_gushan;Gushan;Gushan;Gushan;;Gushan;;;;;;;;;x
b_gushan_adj;Gushanian;;gushaner;;;;;;;;;;;x
b_heping;Heping;Heping;Heping;;Heping;;;;;;;;;x
b_heping_adj;Hepingian;;hepinger;;;;;;;;;;;x
b_hualien;Hualien;Hualien;Hualien;;Hualien;;;;;;;;;x
b_hualien_adj;Hualienian;;hualiener;;;;;;;;;;;x
b_huwei;Huwei;Huwei;Huwei;;Huwei;;;;;;;;;x
b_huwei_adj;Huwian;;huwer;;;;;;;;;;;x
b_jiali;Jiali;Jiali;Jiali;;Jiali;;;;;;;;;x
b_jiali_adj;Jialian;;jialer;;;;;;;;;;;x
b_kaohsiung;Kaohsiung;Kaohsiung;Kaohsiung;;Kaohsiung;;;;;;;;;x
b_kaohsiung_adj;Kaohsiungian;;kaohsiunger;;;;;;;;;;;x
b_longjing;Longjing;Longjing;Longjing;;Longjing;;;;;;;;;x
b_longjing_adj;Longjingian;;longjinger;;;;;;;;;;;x
b_luodong;Luodong;Luodong;Luodong;;Luodong;;;;;;;;;x
b_luodong_adj;Luodongian;;luodonger;;;;;;;;;;;x
b_luzhu;Luzhu;Luzhu;Luzhu;;Luzhu;;;;;;;;;x
b_luzhu_adj;Luzhian;;luzher;;;;;;;;;;;x
b_maolin;Maolin;Maolin;Maolin;;Maolin;;;;;;;;;x
b_maolin_adj;Maolinian;;maoliner;;;;;;;;;;;x
b_namasia;Namasia;Namasia;Namasia;;Namasia;;;;;;;;;x
b_namasia_adj;Namasian;;namaser;;;;;;;;;;;x
b_nantou;Nantou;Nantou;Nantou;;Nantou;;;;;;;;;x
b_nantou_adj;Nantian;;nanter;;;;;;;;;;;x
b_renai;Ren'ai;Ren'ai;Ren'ai;;Ren'ai;;;;;;;;;x
b_renai_adj;Ren'ian;;ren'er;;;;;;;;;;;x
b_suao;Su'ao;Su'ao;Su'ao;;Su'ao;;;;;;;;;x
b_suao_adj;Su'ian;;su'er;;;;;;;;;;;x
b_taichung;Taichung;Taichung;Taichung;;Taichung;;;;;;;;;x
b_taichung_adj;Taichungian;;taichunger;;;;;;;;;;;x
b_tainan;Tainan;Tainan;Tainan;;Tainan;;;;;;;;;x
b_tainan_adj;Tainanian;;tainaner;;;;;;;;;;;x
b_taipei;Taipei;Taipei;Taipei;;Taipei;;;;;;;;;x
b_taipei_adj;Taipian;;taiper;;;;;;;;;;;x
b_taitung;Taitung;Taitung;Taitung;;Taitung;;;;;;;;;x
b_taitung_adj;Taitungian;;taitunger;;;;;;;;;;;x
b_taitung_2;Taitung;Taitung;Taitung;;Taitung;;;;;;;;;x
b_taitung_2_adj;Taitungian;;taitunger;;;;;;;;;;;x
b_tamsui;Tamsui;Tamsui;Tamsui;;Tamsui;;;;;;;;;x
b_tamsui_adj;Tamsian;;tamser;;;;;;;;;;;x
b_tanzi;Tanzi;Tanzi;Tanzi;;Tanzi;;;;;;;;;x
b_tanzi_adj;Tanzian;;tanzer;;;;;;;;;;;x
b_taoyuan;Taoyuan;Taoyuan;Taoyuan;;Taoyuan;;;;;;;;;x
b_taoyuan_adj;Taoyuanian;;taoyuaner;;;;;;;;;;;x
b_toucheng;Toucheng;Toucheng;Toucheng;;Toucheng;;;;;;;;;x
b_toucheng_adj;Touchengian;;touchenger;;;;;;;;;;;x
b_touyuan;Touyuan;Touyuan;Touyuan;;Touyuan;;;;;;;;;x
b_touyuan_adj;Touyuanian;;touyuaner;;;;;;;;;;;x
b_tuen_mun;Tuen Mun;Tuen Mun;Tuen Mun;;Tuen Mun;;;;;;;;;x
b_tuen_mun_adj;Tuen Munian;;Tuen Muner;;;;;;;;;;;x
b_xindian;Xindian;Xindian;Xindian;;Xindian;;;;;;;;;x
b_xindian_adj;Xindianian;;xindianer;;;;;;;;;;;x
b_xinyi;Xinyi;Xinyi;Xinyi;;Xinyi;;;;;;;;;x
b_xinyi_adj;Xinian;;xiner;;;;;;;;;;;x
b_xinying;Xinying;Xinying;Xinying;;Xinying;;;;;;;;;x
b_xinying_adj;Xinyingian;;xinyinger;;;;;;;;;;;x
b_xinzhuang;Xinzhuang;Xinzhuang;Xinzhuang;;Xinzhuang;;;;;;;;;x
b_xinzhuang_adj;Xinzhuangian;;xinzhuanger;;;;;;;;;;;x
b_xizhi;Xizhi;Xizhi;Xizhi;;Xizhi;;;;;;;;;x
b_xizhi_adj;Xizhian;;xizher;;;;;;;;;;;x
b_yilan;Yilan;Yilan;Yilan;;Yilan;;;;;;;;;x
b_yilan_adj;Yilanian;;yilaner;;;;;;;;;;;x
b_yongkang;Yongkang;Yongkang;Yongkang;;Yongkang;;;;;;;;;x
b_yongkang_adj;Yongkangian;;yongkanger;;;;;;;;;;;x
b_yuli;Yuli;Yuli;Yuli;;Yuli;;;;;;;;;x
b_yuli_adj;Yulian;;yuler;;;;;;;;;;;x
b_zhongli;Zhongli;Zhongli;Zhongli;;Zhongli;;;;;;;;;x
b_zhongli_adj;Zhonglian;;zhongler;;;;;;;;;;;x
